No,Red,Green,Blue,Brightness
1,0.414,0.325,0.26,190
2,0.439,0.298,0.263,126
3,0.385,0.323,0.292,71
4,0.373,0.314,0.314,58
5,0.395,0.316,0.289,41
6,0.424,0.303,0.273,33
7,0.452,0.29,0.258,28
8,0.429,0.321,0.25,24
9,0.444,0.333,0.222,15
10,0.4,0.35,0.25,16
11,0.417,0.333,0.25,19
12,0.417,0.333,0.25,21
13,0.4,0.36,0.24,22
14,0.393,0.357,0.25,25
15,0.379,0.345,0.276,27
16,0.387,0.355,0.258,27
17,0.364,0.364,0.273,29
18,0.364,0.364,0.273,30
19,0.364,0.364,0.273,29
20,0.387,0.355,0.258,27
21,0.367,0.367,0.267,27
22,0.387,0.355,0.258,26
23,0.414,0.345,0.241,27
24,0.433,0.333,0.233,28
25,0.455,0.303,0.242,31
26,0.457,0.314,0.229,33
27,0.432,0.324,0.243,36
28,0.447,0.316,0.237,38
29,0.439,0.317,0.244,39
30,0.425,0.325,0.25,38
31,0.429,0.314,0.257,33
32,0.481,0.296,0.222,28
33,0.437,0.33,0.233,173
34,0.451,0.314,0.235,156
35,0.461,0.297,0.242,137
36,0.479,0.281,0.24,105
37,0.494,0.272,0.235,91
38,0.508,0.262,0.231,75
39,0.518,0.25,0.232,62
40,0.532,0.255,0.213,52
41,0.543,0.239,0.217,48
42,0.547,0.245,0.208,55
43,0.536,0.246,0.217,75
44,0.519,0.26,0.221,82
45,0.518,0.259,0.224,89
46,0.53,0.253,0.217,87
47,0.521,0.268,0.211,73
48,0.392,0.338,0.27,71
49,0.4,0.327,0.273,58
50,0.405,0.324,0.27,39
51,0.429,0.321,0.25,28
52,0.44,0.32,0.24,24
53,0.435,0.304,0.261,22
54,0.433,0.3,0.267,26
55,0.417,0.333,0.25,31
56,0.372,0.349,0.279,36
57,0.21,0.47,0.32,52
58,0.208,0.44,0.352,229
59,0.261,0.4,0.339,390
60,0.3,0.382,0.318,485
61,0.313,0.376,0.311,513
62,0.312,0.378,0.31,480
63,0.285,0.404,0.311,340
64,0.258,0.434,0.308,183
65,0.241,0.478,0.281,138
66,0.286,0.451,0.264,50
67,0.382,0.353,0.265,27
68,0.455,0.318,0.227,19
69,0.5,0.3,0.2,19
70,0.437,0.312,0.25,33
71,0.441,0.294,0.265,34
72,0.45,0.275,0.275,38
73,0.455,0.305,0.24,170
74,0.457,0.305,0.238,155
75,0.465,0.295,0.24,132
76,0.477,0.288,0.234,115
77,0.479,0.287,0.234,98
78,0.494,0.286,0.221,81
79,0.492,0.277,0.231,69
80,0.49,0.286,0.224,51
81,0.5,0.289,0.211,38
82,0.5,0.294,0.206,35
83,0.516,0.29,0.194,32
84,0.515,0.273,0.212,33
85,0.523,0.273,0.205,46
86,0.517,0.267,0.217,66
87,0.545,0.247,0.208,84
88,0.539,0.247,0.213,94
89,0.553,0.235,0.212,87
90,0.569,0.236,0.194,72
91,0.581,0.226,0.194,61
92,0.564,0.236,0.2,56
93,0.558,0.231,0.212,52
94,0.557,0.23,0.213,60
95,0.557,0.229,0.214,68
96,0.559,0.221,0.221,67
97,0.537,0.239,0.224,62
98,0.531,0.234,0.234,59
99,0.518,0.25,0.232,52
100,0.451,0.294,0.255,46
101,0.339,0.35,0.311,752
102,0.33,0.362,0.308,667
103,0.274,0.393,0.333,479
104,0.203,0.427,0.37,251
105,0.364,0.345,0.291,47
106,0.442,0.308,0.25,47
107,0.429,0.302,0.27,58
108,0.458,0.292,0.25,71
109,0.442,0.325,0.234,204
110,0.443,0.328,0.23,178
111,0.452,0.312,0.236,155
112,0.448,0.313,0.239,164
113,0.453,0.308,0.239,160
114,0.456,0.302,0.242,152
115,0.48,0.285,0.236,130
116,0.51,0.265,0.224,106
117,0.54,0.241,0.218,91
118,0.573,0.22,0.207,84
119,0.592,0.211,0.197,76
120,0.59,0.218,0.192,79
121,0.575,0.233,0.192,73
122,0.586,0.224,0.19,58
123,0.56,0.24,0.2,50
124,0.5,0.266,0.234,64
125,0.5,0.265,0.235,69
