No,Red,Green,Blue,Brightness
1,0.336,0.336,0.327,333
2,0.332,0.345,0.323,325
3,0.333,0.351,0.316,313
4,0.342,0.337,0.321,282
5,0.348,0.328,0.324,240
6,0.357,0.33,0.314,217
7,0.369,0.333,0.298,195
8,0.376,0.338,0.287,185
9,0.377,0.344,0.278,174
10,0.377,0.338,0.286,174
11,0.369,0.338,0.294,183
12,0.374,0.344,0.282,182
13,0.378,0.359,0.263,173
14,0.399,0.365,0.236,149
15,0.408,0.363,0.229,143
16,0.408,0.361,0.231,151
17,0.412,0.365,0.223,132
18,0.42,0.362,0.217,124
19,0.418,0.366,0.216,121
20,0.431,0.358,0.211,113
21,0.429,0.353,0.218,115
22,0.431,0.333,0.236,125
23,0.424,0.32,0.256,142
24,0.418,0.328,0.254,152
25,0.431,0.341,0.228,148
26,0.444,0.347,0.21,138
27,0.445,0.352,0.203,134
28,0.443,0.351,0.206,129
29,0.442,0.348,0.21,133
30,0.432,0.351,0.216,143
31,0.434,0.349,0.217,147
32,0.436,0.349,0.215,144
33,0.434,0.349,0.217,147
34,0.437,0.351,0.212,147
35,0.442,0.347,0.211,144
36,0.442,0.347,0.211,143
37,0.441,0.349,0.211,148
38,0.443,0.348,0.209,155
39,0.442,0.344,0.215,159
40,0.434,0.349,0.217,163
41,0.431,0.351,0.218,171
42,0.429,0.349,0.222,184
43,0.425,0.35,0.225,196
44,0.423,0.347,0.23,209
45,0.42,0.35,0.23,220
46,0.42,0.348,0.232,217
47,0.419,0.35,0.232,198
48,0.418,0.352,0.231,178
49,0.422,0.354,0.224,158
50,0.43,0.352,0.218,142
51,0.425,0.354,0.22,127
52,0.424,0.356,0.22,118
53,0.421,0.355,0.223,122
54,0.423,0.354,0.223,130
55,0.421,0.349,0.23,152
56,0.427,0.346,0.227,182
57,0.421,0.347,0.231,209
58,0.417,0.349,0.234,226
59,0.418,0.348,0.234,234
60,0.42,0.346,0.235,233
61,0.424,0.345,0.231,221
62,0.422,0.35,0.228,197
63,0.427,0.351,0.222,179
64,0.432,0.349,0.219,164
65,0.439,0.348,0.213,156
66,0.44,0.348,0.213,145
67,0.443,0.344,0.214,142
68,0.437,0.336,0.227,151
69,0.435,0.323,0.242,154
70,0.413,0.314,0.273,158
71,0.403,0.298,0.298,176
72,0.419,0.323,0.258,160
73,0.419,0.35,0.231,137
74,0.426,0.352,0.222,117
75,0.44,0.358,0.202,103
76,0.429,0.357,0.214,116
77,0.419,0.36,0.221,124
78,0.418,0.362,0.22,128
79,0.396,0.356,0.248,148
80,0.379,0.354,0.267,181
81,0.37,0.352,0.279,193
82,0.372,0.303,0.324,209
83,0.397,0.328,0.275,161
84,0.437,0.353,0.21,110
85,0.433,0.358,0.208,109
86,0.431,0.362,0.208,118
87,0.418,0.366,0.216,137
88,0.4,0.367,0.233,162
89,0.373,0.369,0.258,193
90,0.359,0.367,0.273,233
91,0.36,0.364,0.276,268
92,0.363,0.357,0.28,282
93,0.368,0.355,0.277,277
94,0.373,0.356,0.271,262
95,0.38,0.358,0.263,252
96,0.385,0.358,0.258,238
97,0.385,0.361,0.254,221
98,0.392,0.361,0.247,204
99,0.404,0.361,0.236,188
100,0.414,0.359,0.227,180
101,0.421,0.358,0.221,174
102,0.425,0.36,0.215,172
103,0.435,0.355,0.21,175
104,0.44,0.351,0.209,181
105,0.437,0.352,0.211,188
106,0.445,0.346,0.209,200
107,0.45,0.342,0.208,218
108,0.449,0.344,0.206,232
109,0.451,0.342,0.207,250
110,0.451,0.343,0.205,279
111,0.446,0.346,0.208,312
112,0.442,0.347,0.211,338
113,0.44,0.346,0.214,359
114,0.438,0.347,0.215,371
115,0.44,0.344,0.216,368
116,0.437,0.345,0.218,358
117,0.434,0.344,0.221,348
118,0.432,0.345,0.223,332
119,0.426,0.348,0.226,312
120,0.426,0.347,0.228,294
121,0.428,0.347,0.226,287
122,0.43,0.343,0.227,288
123,0.432,0.342,0.226,287
124,0.432,0.342,0.226,288
125,0.435,0.342,0.223,285
126,0.44,0.339,0.221,280
127,0.441,0.341,0.219,292
128,0.442,0.342,0.215,311
129,0.446,0.342,0.212,325
130,0.446,0.341,0.214,354
131,0.439,0.342,0.219,363
132,0.432,0.345,0.223,334
133,0.424,0.348,0.228,304
134,0.428,0.348,0.224,325
135,0.434,0.348,0.218,340
136,0.436,0.351,0.213,334
137,0.439,0.351,0.21,330
138,0.439,0.352,0.208,322
139,0.44,0.351,0.209,325
140,0.441,0.349,0.211,339
141,0.441,0.347,0.212,346
142,0.439,0.345,0.215,345
143,0.436,0.344,0.22,327
144,0.434,0.345,0.221,328
145,0.434,0.345,0.221,346
146,0.435,0.346,0.22,383
147,0.432,0.348,0.22,407
148,0.431,0.351,0.218,413
149,0.428,0.352,0.22,407
150,0.431,0.35,0.219,407
151,0.429,0.35,0.221,413
152,0.436,0.345,0.219,438
153,0.443,0.34,0.217,462
154,0.439,0.34,0.221,472
155,0.441,0.337,0.222,472
156,0.436,0.339,0.225,472
157,0.425,0.345,0.229,451
158,0.431,0.343,0.226,477
159,0.432,0.342,0.225,487
160,0.442,0.337,0.221,475
161,0.445,0.336,0.219,449
162,0.444,0.336,0.22,426
163,0.442,0.339,0.22,405
164,0.436,0.342,0.222,379
165,0.428,0.346,0.226,354
166,0.419,0.353,0.228,312
167,0.414,0.358,0.228,282
168,0.411,0.358,0.231,278
169,0.406,0.359,0.235,273
170,0.398,0.36,0.242,286
171,0.397,0.359,0.244,310
172,0.399,0.356,0.245,336
173,0.398,0.355,0.247,360
174,0.396,0.354,0.25,378
