No,Red,Green,Blue,Brightness
1,0.367,0.352,0.281,362
2,0.373,0.35,0.277,378
3,0.378,0.349,0.273,400
4,0.38,0.347,0.273,425
5,0.375,0.348,0.277,407
6,0.364,0.355,0.282,359
7,0.357,0.36,0.283,354
8,0.341,0.367,0.292,337
9,0.337,0.37,0.293,328
10,0.332,0.374,0.294,313
11,0.314,0.38,0.306,271
12,0.314,0.38,0.306,235
13,0.325,0.37,0.305,196
14,0.343,0.371,0.287,174
15,0.363,0.374,0.263,170
16,0.393,0.358,0.249,169
17,0.413,0.358,0.229,176
18,0.438,0.346,0.216,179
19,0.45,0.343,0.207,165
20,0.459,0.342,0.199,145
21,0.462,0.345,0.193,142
22,0.462,0.343,0.196,142
23,0.462,0.345,0.193,146
24,0.466,0.345,0.189,149
25,0.464,0.346,0.19,156
26,0.462,0.348,0.19,160
27,0.463,0.348,0.189,165
28,0.462,0.349,0.189,168
29,0.465,0.347,0.188,168
30,0.471,0.343,0.186,171
31,0.468,0.345,0.187,169
32,0.47,0.343,0.187,165
33,0.467,0.343,0.189,166
34,0.473,0.339,0.188,161
35,0.468,0.34,0.192,153
36,0.47,0.338,0.192,147
37,0.461,0.338,0.201,151
38,0.452,0.342,0.206,154
39,0.433,0.348,0.22,160
40,0.408,0.354,0.238,139
41,0.372,0.372,0.256,112
42,0.343,0.389,0.269,97
43,0.327,0.396,0.277,90
44,0.33,0.394,0.275,99
45,0.341,0.388,0.271,121
46,0.411,0.366,0.223,113
47,0.427,0.359,0.214,105
48,0.425,0.349,0.226,108
49,0.414,0.353,0.233,118
50,0.415,0.35,0.236,124
51,0.417,0.35,0.233,120
52,0.42,0.353,0.227,120
53,0.417,0.348,0.235,115
54,0.414,0.351,0.234,112
55,0.415,0.356,0.229,120
56,0.409,0.356,0.235,133
57,0.403,0.356,0.242,150
58,0.391,0.356,0.253,175
59,0.358,0.377,0.265,213
60,0.365,0.374,0.26,218
61,0.369,0.369,0.261,219
62,0.374,0.37,0.256,217
63,0.373,0.368,0.259,219
64,0.376,0.367,0.258,220
65,0.377,0.363,0.26,212
66,0.378,0.364,0.258,205
67,0.375,0.365,0.26,203
68,0.371,0.365,0.264,194
69,0.371,0.371,0.258,188
70,0.37,0.37,0.261,179
71,0.367,0.367,0.266,171
