No,Red,Green,Blue,Brightness
1,0.442,0.333,0.225,231
2,0.452,0.333,0.215,190
3,0.465,0.325,0.21,164
4,0.468,0.319,0.213,149
5,0.473,0.313,0.214,141
6,0.475,0.311,0.213,136
7,0.474,0.31,0.216,131
8,0.458,0.317,0.225,144
9,0.423,0.309,0.268,196
10,0.395,0.314,0.291,312
11,0.408,0.316,0.276,308
12,0.438,0.32,0.242,233
13,0.457,0.314,0.229,166
14,0.475,0.308,0.217,131
15,0.49,0.308,0.202,107
16,0.485,0.311,0.204,107
17,0.49,0.306,0.204,103
18,0.48,0.31,0.21,106
19,0.477,0.306,0.216,121
20,0.48,0.304,0.216,109
21,0.48,0.304,0.216,109
22,0.495,0.301,0.204,99
23,0.5,0.3,0.2,107
24,0.5,0.3,0.2,118
25,0.5,0.302,0.198,115
26,0.5,0.304,0.196,118
27,0.509,0.3,0.191,117
28,0.509,0.296,0.194,114
29,0.505,0.301,0.194,105
30,0.515,0.297,0.188,102
31,0.515,0.303,0.182,99
32,0.526,0.299,0.175,98
33,0.521,0.298,0.181,95
34,0.526,0.299,0.175,98
35,0.528,0.302,0.17,106
36,0.526,0.298,0.175,113
37,0.525,0.303,0.172,119
38,0.519,0.305,0.176,128
39,0.525,0.305,0.17,136
40,0.523,0.307,0.17,146
41,0.523,0.307,0.17,146
42,0.526,0.305,0.169,146
43,0.526,0.303,0.171,144
44,0.531,0.303,0.166,137
45,0.535,0.296,0.169,134
46,0.547,0.288,0.165,131
47,0.549,0.286,0.165,126
48,0.556,0.282,0.161,117
49,0.556,0.282,0.162,108
50,0.561,0.28,0.159,101
51,0.568,0.274,0.158,88
52,0.571,0.274,0.155,79
53,0.57,0.278,0.152,73
54,0.554,0.284,0.162,69
55,0.552,0.284,0.164,63
56,0.542,0.288,0.169,57
57,0.526,0.298,0.175,55
58,0.509,0.298,0.193,54
59,0.5,0.304,0.196,53
60,0.491,0.302,0.208,51
61,0.481,0.315,0.204,51
62,0.473,0.309,0.218,52
63,0.463,0.315,0.222,52
64,0.442,0.327,0.231,51
65,0.436,0.327,0.236,55
66,0.431,0.328,0.241,58
67,0.426,0.328,0.246,61
68,0.415,0.338,0.246,64
69,0.409,0.333,0.258,66
70,0.403,0.343,0.254,65
71,0.424,0.333,0.242,65
72,0.431,0.338,0.231,64
73,0.448,0.328,0.224,64
74,0.455,0.333,0.212,63
75,0.46,0.333,0.206,61
76,0.475,0.328,0.197,59
77,0.492,0.322,0.186,57
78,0.483,0.328,0.19,55
79,0.491,0.321,0.189,52
80,0.481,0.327,0.192,51
81,0.481,0.315,0.204,52
82,0.491,0.321,0.189,51
83,0.5,0.32,0.18,48
84,0.51,0.327,0.163,47
85,0.52,0.32,0.16,47
86,0.51,0.327,0.163,46
87,0.522,0.326,0.152,43
88,0.522,0.326,0.152,43
89,0.5,0.333,0.167,49
90,0.509,0.327,0.164,50
91,0.492,0.339,0.169,53
92,0.484,0.344,0.172,57
93,0.5,0.339,0.161,55
94,0.5,0.343,0.157,62
95,0.511,0.333,0.156,41
96,0.522,0.326,0.152,42
97,0.519,0.333,0.148,49
98,0.521,0.333,0.146,43
99,0.519,0.333,0.148,50
100,0.519,0.333,0.148,50
101,0.509,0.333,0.158,52
102,0.5,0.35,0.15,54
103,0.509,0.34,0.151,48
104,0.5,0.345,0.155,53
105,0.5,0.339,0.161,57
106,0.492,0.339,0.169,52
107,0.493,0.343,0.164,60
108,0.5,0.324,0.176,65
109,0.5,0.339,0.161,56
110,0.492,0.344,0.164,54
111,0.5,0.345,0.155,52
112,0.5,0.327,0.173,48
113,0.5,0.327,0.173,48
114,0.5,0.333,0.167,50
115,0.491,0.333,0.175,53
116,0.492,0.322,0.186,54
117,0.5,0.328,0.172,53
118,0.491,0.333,0.175,52
119,0.508,0.328,0.164,55
120,0.508,0.328,0.164,55
121,0.509,0.333,0.158,52
122,0.517,0.317,0.167,55
123,0.533,0.317,0.15,55
124,0.537,0.315,0.148,51
125,0.538,0.308,0.154,49
126,0.549,0.314,0.137,49
127,0.556,0.296,0.148,52
128,0.556,0.296,0.148,52
129,0.554,0.304,0.143,54
130,0.55,0.3,0.15,56
131,0.557,0.295,0.148,59
132,0.557,0.295,0.148,58
133,0.556,0.302,0.143,60
134,0.556,0.302,0.143,59
135,0.551,0.304,0.145,66
136,0.552,0.299,0.149,64
137,0.556,0.302,0.143,61
138,0.556,0.302,0.143,61
139,0.556,0.296,0.148,52
140,0.569,0.294,0.137,50
141,0.556,0.296,0.148,53
142,0.556,0.296,0.148,52
143,0.556,0.302,0.143,60
144,0.552,0.299,0.149,64
145,0.549,0.296,0.155,66
146,0.522,0.311,0.167,89
147,0.511,0.315,0.174,91
148,0.532,0.306,0.161,60
149,0.545,0.295,0.159,42
150,0.533,0.3,0.167,29
151,0.538,0.308,0.154,13
152,0.545,0.273,0.182,11
153,0.548,0.29,0.161,30
154,0.548,0.31,0.143,40
155,0.552,0.293,0.155,56
156,0.56,0.293,0.147,72
157,0.557,0.295,0.148,84
158,0.558,0.292,0.15,117
159,0.559,0.291,0.15,125
160,0.563,0.289,0.148,132
161,0.574,0.279,0.147,132
162,0.564,0.282,0.154,112
163,0.551,0.292,0.157,87
164,0.545,0.299,0.156,76
165,0.528,0.306,0.167,70
166,0.507,0.32,0.173,72
167,0.529,0.306,0.165,115
168,0.534,0.304,0.161,151
169,0.543,0.301,0.156,163
170,0.541,0.3,0.159,160
171,0.541,0.3,0.159,160
172,0.537,0.305,0.159,154
173,0.532,0.308,0.16,146
174,0.534,0.308,0.158,137
175,0.528,0.31,0.162,133
176,0.522,0.309,0.169,129
177,0.512,0.32,0.168,115
178,0.5,0.328,0.172,105
179,0.486,0.333,0.18,99
180,0.49,0.337,0.173,92
181,0.485,0.34,0.175,86
182,0.474,0.34,0.186,85
183,0.479,0.333,0.187,84
184,0.482,0.341,0.176,74
185,0.479,0.342,0.178,64
186,0.479,0.338,0.183,64
187,0.481,0.338,0.182,69
188,0.486,0.338,0.176,65
189,0.5,0.333,0.167,61
190,0.5,0.333,0.167,65
191,0.506,0.333,0.16,72
192,0.489,0.344,0.167,79
193,0.495,0.34,0.165,87
194,0.505,0.33,0.165,99
195,0.509,0.328,0.164,107
196,0.508,0.32,0.172,118
197,0.518,0.312,0.17,135
198,0.531,0.301,0.168,139
199,0.526,0.301,0.173,130
200,0.525,0.295,0.18,120
201,0.523,0.297,0.18,108
202,0.515,0.307,0.178,97
203,0.531,0.302,0.167,95
204,0.539,0.303,0.157,88
205,0.55,0.29,0.16,98
206,0.559,0.288,0.153,107
207,0.57,0.281,0.149,110
208,0.575,0.283,0.142,116
209,0.575,0.283,0.142,125
210,0.577,0.288,0.135,110
211,0.579,0.284,0.137,96
212,0.58,0.284,0.136,82
213,0.561,0.293,0.146,82
214,0.54,0.3,0.16,96
215,0.518,0.304,0.179,105
216,0.519,0.29,0.191,121
217,0.524,0.287,0.189,134
218,0.533,0.287,0.18,141
219,0.546,0.289,0.164,142
220,0.542,0.297,0.161,146
221,0.54,0.301,0.16,152
222,0.535,0.299,0.166,145
223,0.526,0.307,0.168,124
224,0.504,0.319,0.176,108
225,0.505,0.324,0.171,96
226,0.5,0.333,0.167,76
227,0.5,0.339,0.161,57
228,0.519,0.333,0.148,50
229,0.509,0.333,0.158,53
230,0.492,0.339,0.169,55
231,0.477,0.338,0.185,61
232,0.472,0.333,0.194,67
233,0.451,0.338,0.211,67
234,0.457,0.329,0.214,66
235,0.465,0.324,0.211,67
236,0.471,0.329,0.2,66
237,0.485,0.324,0.191,65
238,0.479,0.324,0.197,68
239,0.487,0.316,0.197,72
240,0.481,0.321,0.198,78
241,0.482,0.318,0.2,84
242,0.477,0.318,0.205,88
243,0.468,0.319,0.213,93
244,0.475,0.317,0.208,100
